Gender,Partner,Dependents,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Churn
Male,Yes,No,0,66,101.21,6756.68108146965,0
Male,No,Yes,0,31,76.67,2223.5819490816048,0
Male,No,No,1,52,76.66,3684.5224835868107,0
Female,No,No,0,71,120.0,8000.0,0
Female,No,No,1,69,85.23,5867.207349307374,0
Male,Yes,No,0,50,57.04,2941.067499665412,0
Male,Yes,Yes,0,18,70.89,1238.354530341245,0
Male,No,No,0,49,74.57,4093.520101613894,0
Female,Yes,No,0,12,52.44,1017.0451758978968,0
Male,No,Yes,0,24,18.0,1533.8055280992742,0
Female,Yes,No,1,46,44.05,1632.657417143802,0
Female,No,Yes,0,13,51.06,679.8319351134576,0
Male,Yes,No,0,20,55.66,1437.7956710260928,0
Male,Yes,No,0,71,77.71,4472.326447250822,0
Male,No,No,0,71,32.84,2361.9983846811174,0
Female,No,Yes,1,26,120.0,3014.479901434201,0
Female,Yes,Yes,0,7,77.07,0.0,0
Male,No,Yes,0,37,69.38,2820.915819635012,0
Female,Yes,Yes,0,67,80.27,5428.476294764543,1
Male,Yes,Yes,1,54,53.49,2883.6470923928773,0
Male,No,Yes,0,51,96.44,4381.441391144431,0
Female,Yes,Yes,0,55,81.51,3854.9491568145263,0
Female,No,No,0,26,61.75,1866.043806745262,0
Female,No,Yes,0,36,55.14,1717.7511457875385,1
Female,Yes,Yes,0,3,91.4,335.64229162554375,1
Male,Yes,No,0,13,84.72,529.3492365090646,0
Male,Yes,Yes,0,13,107.46,1381.6094901630686,1
Male,Yes,Yes,0,57,120.0,7246.077344977207,0
Female,No,No,1,66,89.99,5421.113335826867,0
Male,Yes,No,0,62,51.45,3481.4475141855373,1
Female,Yes,Yes,0,14,103.0,1669.1153687212338,0
Female,No,Yes,0,36,18.0,539.9323243345705,0
Female,No,No,1,47,97.47,4597.6814917135,1
Male,No,Yes,0,37,88.69,2857.8356428120746,1
Female,No,No,0,38,94.49,3348.7440914238096,1
Female,No,Yes,0,6,71.88,219.9595964873697,0
Female,No,No,0,33,18.0,653.887815123136,0
Female,Yes,No,0,12,74.69,679.4828335369458,0
Female,No,No,0,9,103.09,587.8078262258801,0
Female,Yes,Yes,0,55,84.17,4413.080038728239,0
Female,No,No,0,41,72.6,3524.4527096781203,0
Female,Yes,No,0,14,72.91,398.0095461379808,0
Female,No,No,0,11,40.57,0.0,0
Female,No,No,0,51,44.33,2404.4598443088375,0
Female,No,Yes,0,10,61.28,941.8721386974871,0
Female,No,No,0,3,59.87,0.0,0
Male,Yes,Yes,1,20,72.22,1327.90062942118,1
Male,No,Yes,0,27,39.35,606.309992404943,1
Female,Yes,No,0,34,93.1,2344.371495596112,1
Female,No,Yes,0,61,80.12,5118.256541345918,0
Female,No,No,0,67,42.93,2969.3571036282,0
Male,No,Yes,1,43,45.69,1677.0632542626022,0
Male,Yes,No,1,61,30.04,2132.2212214468436,0
Male,Yes,No,0,18,54.66,977.6376113122091,0
Female,No,No,1,2,78.54,759.6622078428353,0
Female,Yes,No,0,21,81.85,1333.6541931814727,0
Female,No,No,0,43,72.08,2978.4552928968633,0
Female,No,No,0,52,80.23,4013.142865316428,0
Male,Yes,No,0,52,78.6,4342.574538257686,0
Female,No,No,0,64,39.68,2622.6543024038415,0
Male,No,Yes,1,41,63.47,3074.012519746038,0
Male,No,No,0,47,120.0,5106.508801163383,0
Female,No,No,0,42,58.61,1805.2988373239757,0
Male,Yes,Yes,0,47,64.39,3414.418175951441,1
Male,Yes,Yes,0,38,66.61,2049.136674524946,0
Male,No,No,0,72,58.27,3925.7663863301286,0
Male,Yes,No,0,67,33.93,2244.7271178655315,0
Female,No,No,0,22,99.2,2080.1994767367883,0
Female,No,No,0,43,18.0,979.1172155219142,1
Male,No,Yes,0,1,25.86,25.86,0
Female,No,Yes,0,39,35.28,858.8471840734641,0
Male,No,No,0,55,33.18,1522.6118553547794,1
Female,Yes,Yes,0,53,103.18,4781.091385134867,0
Female,Yes,No,0,34,45.44,1737.7317198839469,0
Female,Yes,Yes,0,33,81.77,2970.0203872726793,0
Female,Yes,Yes,0,30,58.53,2147.863422218675,0
Female,No,Yes,1,31,75.24,2486.829741858273,0
Male,No,Yes,0,69,57.71,4027.525101039059,0
Female,Yes,Yes,0,47,65.6,3194.989099100844,0
Male,Yes,No,1,61,104.3,6957.900730235894,0
Male,No,Yes,0,60,65.39,3695.417443802242,0
Female,No,No,1,32,86.12,2748.5352239242748,1
Male,Yes,No,0,68,70.42,4353.381613662357,0
Female,Yes,No,0,18,56.21,1313.860056990657,0
Male,No,Yes,0,56,68.64,4795.526729188701,0
Male,Yes,No,0,10,53.44,710.9526193836501,1
Female,No,No,0,39,73.24,3179.156212769903,0
Female,No,Yes,0,52,72.99,4260.1082861607465,0
Female,Yes,No,0,3,72.2,179.7869770778032,0
Female,Yes,Yes,1,51,35.83,2674.9267960661255,0
Male,No,No,0,63,72.64,5005.566718015449,0
Female,Yes,No,0,48,38.4,2000.3096634387298,0
Male,Yes,No,0,6,100.98,769.6476666541812,0
Male,No,Yes,0,39,56.31,1742.630453615809,1
Male,Yes,No,0,62,56.95,3202.011737936505,0
Male,No,Yes,0,53,75.6,4001.686355281123,0
Male,No,No,1,64,75.16,3901.4629948459037,0
Male,No,No,0,39,73.78,3348.963125328128,0
Female,Yes,No,0,12,89.72,1010.312958116389,0
Male,Yes,No,0,15,38.2,383.230321557622,0
Male,Yes,No,0,11,63.17,984.955864775718,0
Male,No,No,1,70,95.5,7298.672877693877,0
Female,Yes,No,0,39,54.0,2525.5670595581496,1
Female,Yes,No,0,27,79.38,2156.467554055483,0
Male,No,No,0,21,114.45,2907.865810336929,1
Female,No,No,0,68,50.95,3512.662626381089,0
Male,Yes,Yes,0,57,57.92,4386.455570022395,0
Female,Yes,No,0,56,43.38,3073.791410956316,1
Male,No,Yes,0,12,81.04,779.8456252622623,1
Female,No,No,0,20,114.87,2274.6353190538016,1
Female,No,No,0,68,55.8,3355.4259624187266,0
Female,Yes,No,0,71,104.93,8000.0,0
Male,Yes,No,0,39,86.66,3538.3097210131396,0
Male,No,Yes,0,68,90.1,6324.281953705139,0
Male,No,No,0,13,61.6,0.0,0
Female,Yes,Yes,0,38,67.24,2125.4454310239407,0
Female,Yes,Yes,0,48,88.62,4836.758747294549,0
Male,No,No,1,25,96.3,2143.6114744711736,0
Female,No,Yes,0,70,120.0,8000.0,0
Male,Yes,Yes,0,1,74.47,74.47,0
Male,No,No,0,36,100.99,3954.787252940831,0
Male,No,Yes,0,53,59.21,3340.203628845281,0
Male,No,Yes,0,15,67.45,495.2934400113453,0
Female,Yes,No,0,6,70.03,934.1642306542485,0
Female,No,No,0,72,79.73,5988.109306150838,0
Female,Yes,Yes,0,44,82.49,4187.477916425043,0
Male,Yes,No,0,46,63.55,3065.843549960413,0
Female,No,No,0,61,102.64,6456.381833567388,0
Male,No,No,0,16,75.88,1112.2392402252951,0
Male,No,No,1,14,55.82,795.5154518310704,0
Male,Yes,No,1,9,45.92,0.0,0
Male,Yes,No,0,11,57.61,84.098212867352,1
Male,No,No,1,38,64.17,3117.985706382524,0
Male,Yes,No,0,10,96.91,607.115523994805,0
Female,Yes,No,1,21,77.05,1175.3024631557967,0
Female,No,No,0,18,24.33,0.0,0
Female,No,No,0,28,51.73,689.3563040536654,0
Female,No,No,1,61,67.51,4405.372541424977,0
Male,Yes,No,0,52,38.17,2041.131535177684,0
Male,No,No,1,52,53.92,2372.1272749575623,1
Female,No,Yes,0,11,80.51,558.3756190495601,0
Female,No,No,0,41,42.35,2045.2940852380998,0
Female,Yes,No,0,10,97.28,1323.5950592403597,0
Female,No,Yes,0,67,58.56,3793.0635935824475,0
Female,No,Yes,0,52,35.62,2581.2686046462068,0
Female,No,No,0,28,28.64,336.0296215463517,0
Female,No,No,1,53,103.89,4801.793707214038,0
Female,Yes,No,0,34,100.93,3488.777789234675,0
Male,No,No,0,11,75.87,1614.3431705017022,0
Male,No,No,1,64,38.69,2633.870680973094,0
Male,Yes,No,0,19,86.57,2237.053092263095,0
Male,Yes,No,1,27,32.87,1744.389102102738,0
Female,Yes,No,0,46,30.96,652.4005959360833,0
Male,No,No,0,38,45.79,1552.6150939010756,0
Female,No,No,0,41,87.11,2910.5095011334097,0
Male,Yes,No,0,3,54.5,452.30289730443957,0
Female,No,No,0,59,92.72,4870.246528173107,1
Female,No,Yes,0,16,59.13,1150.660019157448,0
Male,No,No,0,10,62.67,0.0,0
Male,Yes,No,0,45,74.32,3395.942085118809,0
Female,No,Yes,0,2,84.24,0.0,1
Female,No,No,0,70,88.14,5385.037665387247,0
Female,Yes,No,0,42,46.88,2562.1041099314775,0
Male,Yes,No,0,20,57.4,555.2344587248406,1
Male,Yes,No,0,59,18.0,1319.8288571489372,0
Female,No,No,0,33,49.66,1851.7738666912487,0
Male,No,No,0,52,18.0,926.6475994255992,0
Female,No,No,0,34,88.32,3509.9449188152817,0
Male,Yes,No,0,55,53.81,2488.8627763413533,0
Male,Yes,No,0,1,86.96,86.96,0
Male,No,No,0,8,87.0,287.5766439937382,0
Male,Yes,Yes,0,13,93.58,1389.4981706580786,0
Male,No,No,1,56,40.88,2640.2117733889077,0
Female,Yes,No,0,39,62.14,2884.1735766645443,0
Female,Yes,Yes,0,22,55.86,1962.841820119316,0
Male,No,No,0,59,79.48,4796.884912102179,0
Female,No,No,0,13,91.5,1198.4409107355937,0
Female,Yes,No,0,17,104.59,2159.6689074272563,0
Male,Yes,No,0,68,52.22,4177.850465165629,0
Female,Yes,Yes,0,53,62.54,2853.4956788459886,0
Male,Yes,No,0,6,52.0,0.0,0
Female,No,Yes,0,22,108.17,1949.1253409191208,0
Female,No,No,0,30,84.51,2338.884348843187,0
Female,No,No,0,19,54.76,1286.7528957412455,0
Female,No,No,0,12,45.73,896.0206933311331,1
Female,Yes,No,0,43,18.0,572.2609224648294,0
Female,No,No,0,1,74.09,74.09,0
Female,No,Yes,1,46,83.04,4394.611158754466,1
Male,No,No,1,18,81.24,1319.2049345752118,0
Male,No,No,0,41,66.34,2955.4221654444723,0
Male,No,No,0,66,72.9,5520.143566242317,0
Male,No,No,0,34,54.71,1430.182628278727,0
Female,No,No,0,57,79.84,4875.992930095745,0
Female,No,No,0,25,88.59,2313.9711673592637,1
Female,No,No,1,65,24.94,1798.1458711491514,0
Male,Yes,Yes,0,57,101.2,5234.213838999522,0
Male,No,No,0,67,64.08,4426.718177913113,0
Male,Yes,Yes,0,2,18.0,0.0,0
Female,Yes,No,0,48,55.57,3063.699173636086,0
Male,No,No,1,15,88.26,1625.850075406447,0
Female,No,Yes,0,42,52.78,2526.445327347743,0
Male,No,No,1,62,101.51,5943.610046593204,0
Female,No,No,0,34,100.82,3358.1728876261445,0
Male,Yes,Yes,0,38,87.57,3892.369980079118,0
Female,No,No,0,20,56.15,1665.373469172373,0
Male,No,Yes,1,43,42.91,1109.9273661386815,1
Male,No,No,0,3,48.8,0.0,0
Female,Yes,No,0,54,56.65,2982.439874387938,0
Female,No,No,0,58,65.45,4050.419707863085,1
Male,No,No,0,20,33.75,1029.0449552544228,0
Female,Yes,No,0,43,61.53,2934.257872013722,1
Male,No,No,0,27,42.77,743.5402818905582,0
Female,Yes,Yes,0,57,110.78,5835.1067623642275,0
Male,No,No,0,62,96.34,6595.318569183073,1
Female,No,Yes,0,9,105.2,177.85406795454116,0
Male,No,Yes,1,62,86.87,5653.780884258748,0
Male,No,Yes,0,38,74.35,2942.925772502978,1
Male,Yes,Yes,0,40,56.96,2791.4572303299974,0
Female,No,Yes,0,54,87.15,5151.946221812766,0
Male,Yes,No,0,40,61.78,2367.3636409742053,0
Female,Yes,Yes,0,61,77.21,4443.060844939912,1
Female,Yes,Yes,0,66,70.36,4518.0221537035095,1
Female,Yes,Yes,0,39,92.06,3439.750330532725,0
Male,No,No,1,24,50.39,1380.0184329880253,0
Female,No,No,0,5,47.34,0.0,0
Female,No,No,0,54,69.08,3854.429033987713,1
Female,Yes,No,0,64,37.42,2475.6610856770385,0
Male,No,No,0,39,46.21,2425.0219666532707,0
Female,No,Yes,0,42,71.58,2684.4134842528883,0
Female,Yes,No,1,13,99.4,869.4224556175313,1
Female,Yes,No,0,39,35.36,760.8328887217215,0
Female,No,No,0,25,57.69,1831.9492651558216,0
Male,Yes,No,1,71,35.19,2849.4475577352646,0
Male,Yes,Yes,0,33,71.46,3203.070474531966,0
Female,Yes,No,0,47,49.4,1956.8363416852492,1
Female,Yes,No,0,10,78.6,545.6730240463726,0
Female,Yes,No,0,37,77.07,2930.5041682010215,0
Female,No,No,0,1,88.9,88.9,0
Male,Yes,Yes,0,39,24.8,651.0159844844347,0
Male,Yes,No,0,2,67.4,126.84670180542963,0
Male,Yes,No,0,67,77.78,4912.422592749005,1
Male,No,Yes,0,52,57.8,4061.968369350693,0
Female,No,Yes,0,40,30.44,1155.562629026382,0
Female,No,No,0,68,87.94,6359.690986013856,0
Male,No,No,1,69,75.01,4163.961459921323,1
Male,No,No,1,37,51.91,2791.8146537245652,0
Female,Yes,Yes,1,48,47.81,3043.570237909056,0
Female,Yes,No,0,43,93.02,4033.139807053283,1
Female,Yes,Yes,0,51,66.84,4059.673805475901,0
Female,Yes,Yes,0,39,31.36,398.0218460568144,1
Female,Yes,No,0,32,32.14,1235.5063122366882,0
Male,No,Yes,0,11,58.91,717.0416089661502,0
Male,Yes,No,0,71,85.75,5505.741137363562,0
Female,No,Yes,0,9,60.53,903.4894064110954,0
Female,No,No,0,37,67.76,2042.9777058659056,0
Male,No,Yes,0,22,60.99,1587.168941944297,0
Female,Yes,No,0,69,80.79,6266.895254501872,1
Male,No,No,0,8,99.66,816.3659493838265,1
Male,No,No,0,8,93.84,1257.185488563265,1
Male,No,Yes,0,32,47.39,1713.6946349817235,0
Male,No,No,0,25,79.05,2113.249302593221,1
Female,No,No,1,20,75.74,1875.7349054363917,0
Female,Yes,No,0,49,108.63,5117.771956396444,0
Male,Yes,No,0,59,29.23,1276.3859087622673,0
Female,Yes,No,0,14,99.4,1672.3463664979708,0
Female,No,Yes,0,8,50.3,0.0,0
Female,Yes,No,0,30,66.36,1125.4577058363002,1
Female,Yes,Yes,1,3,65.45,0.0,1
Male,No,Yes,0,67,64.26,5055.548919508519,0
Female,Yes,Yes,0,41,86.19,3027.484337098137,0
Male,No,No,0,35,95.88,2859.2351313353106,0
Male,No,No,1,51,77.97,2908.337460960871,0
Female,Yes,Yes,0,64,82.36,5288.7166564747085,0
Male,Yes,Yes,1,21,54.22,704.3445135574609,0
Female,No,No,0,72,90.41,6418.259965566254,0
Female,No,No,0,61,89.54,6663.7149835278515,1
Male,No,Yes,0,41,78.02,3254.2969017578207,0
Female,Yes,Yes,0,2,93.32,78.04109442614161,1
Male,Yes,Yes,0,55,70.98,4022.4931137000835,1
Male,Yes,Yes,0,59,69.63,3702.4490462136823,0
Female,No,Yes,0,71,91.04,6727.150768148447,0
Female,Yes,Yes,0,17,63.73,120.02186069386516,1
Female,Yes,No,0,12,67.26,1213.9996645248034,0
Male,No,No,0,2,74.35,0.0,0
Female,Yes,Yes,1,37,105.62,4324.111649608305,0
Male,Yes,Yes,0,38,54.3,2026.881990145508,0
Male,No,No,0,26,81.36,3383.7629034323163,0
Female,No,Yes,0,30,62.94,1183.342885457312,1
Female,No,No,1,39,75.91,2850.9657636054903,0
Female,No,No,0,53,110.04,4700.827063500596,0
Male,No,No,0,9,79.97,158.1385132701363,0
Female,No,Yes,0,18,77.08,819.4383637678561,0
Male,No,No,0,38,42.61,638.6914931363225,0
Female,No,No,1,71,88.48,5996.627277171037,0
Female,No,No,0,6,114.15,549.2238659942503,0
Male,No,Yes,0,47,92.85,4945.505195235734,0
Male,No,Yes,0,71,57.78,3443.736912934433,0
Female,Yes,No,0,12,66.77,0.0,0
Female,Yes,Yes,1,43,109.1,4592.175303688332,1
Female,No,No,0,29,90.68,2537.430108135186,1
Female,Yes,Yes,0,40,69.22,2579.293976398173,0
Female,Yes,No,0,30,116.59,2729.7499299719007,0
Male,No,Yes,0,11,27.68,290.196195885114,1
Male,Yes,No,0,40,84.41,3238.6411185270963,0
Male,No,No,0,17,74.33,582.8236045601201,1
Male,No,Yes,0,31,64.28,2799.526885946851,0
Female,Yes,No,0,3,63.31,0.0,0
Male,Yes,No,0,26,34.15,455.553651088514,0
Male,Yes,No,0,4,75.55,237.46019491397493,1
Male,Yes,Yes,0,1,41.31,41.31,1
Female,Yes,No,0,67,120.0,7836.000923551284,0
Male,Yes,No,0,20,81.7,944.176723290111,0
Female,No,No,0,18,93.32,2033.7501668957748,0
Male,Yes,No,0,50,78.71,4223.346546553748,0
Female,No,No,0,5,39.98,256.27151932425323,1
Male,No,No,1,59,43.28,2402.956356587953,0
Female,Yes,Yes,1,37,65.4,2386.7265022390584,0
Male,Yes,No,0,50,72.68,3607.6686565483446,0
Female,Yes,Yes,0,3,57.57,246.45317490180707,0
Female,No,No,0,57,74.43,4551.350399187854,0
Male,No,Yes,1,19,27.01,793.4348388685934,0
Female,Yes,No,1,8,75.21,1050.3879283889557,1
Female,No,Yes,0,12,75.55,1209.2874840050297,0
Male,No,Yes,0,21,48.82,687.5172895837884,1
Male,No,No,0,61,101.11,5748.7377831543545,0
Female,No,No,0,59,94.94,5600.996913934413,1
Male,Yes,No,0,33,59.89,2032.1597246213578,0
Male,Yes,No,0,32,58.71,1762.462388777462,1
Male,No,No,0,64,39.14,2424.204367413683,0
Female,No,No,0,32,40.87,1085.0267615544185,0
Female,No,No,0,36,55.25,2770.0237910984506,0
Female,Yes,Yes,0,31,54.21,1840.199391584355,0
Female,No,Yes,0,46,76.0,3630.3443279848825,0
Female,No,No,0,30,100.06,2596.4184907146614,0
Female,Yes,No,0,33,97.69,3489.1452758998944,0
Female,Yes,Yes,0,27,19.48,1127.9273039983095,1
Male,No,Yes,0,33,78.53,3390.2633876577415,0
Female,Yes,No,0,5,94.69,0.0,0
Female,Yes,Yes,1,54,83.27,5442.845905919596,0
Male,Yes,No,0,55,93.62,4843.744714710476,0
Male,No,Yes,0,72,83.71,5700.28224712896,0
Male,No,No,0,4,55.96,83.5546296805862,0
Female,Yes,No,0,41,81.92,2853.210650908395,1
Male,No,Yes,0,13,63.5,609.7219198044844,0
Female,No,No,1,13,70.49,218.8812926011458,0
Female,Yes,No,0,19,18.96,0.0,1
Female,No,No,0,4,59.03,952.8285722955442,0
Male,No,No,0,52,75.86,3223.654607318323,1
Male,No,No,1,1,73.19,73.19,1
Female,Yes,No,0,46,18.0,1641.0088545183046,1
Female,No,No,1,72,71.54,5550.451453018592,0
Female,Yes,Yes,1,1,62.0,62.0,0
Male,Yes,Yes,0,52,120.0,5988.3974386592345,0
Female,No,No,0,60,82.92,5568.9724682650485,0
Male,No,Yes,0,17,120.0,1811.955395047396,1
Female,No,No,0,70,34.84,2389.906493263419,0
Male,Yes,No,0,24,74.95,1528.8023666749639,1
Female,Yes,Yes,0,5,66.58,1367.96201656744,0
Male,No,No,0,33,120.0,4981.196042864236,0
Male,Yes,Yes,0,4,18.0,0.0,0
Male,Yes,No,0,14,46.74,1176.8354582401591,0
Male,No,No,0,10,18.0,214.4555528039669,0
Male,No,No,0,32,45.22,431.11361649359856,0
Male,No,Yes,0,21,61.66,479.04204785536547,0
Female,Yes,No,1,16,58.06,819.8343445610346,0
Female,Yes,No,0,10,70.54,453.9402909139026,0
Female,No,No,0,63,33.13,1388.9581266043124,0
Female,No,No,0,42,114.33,4457.282592361518,0
Male,No,No,0,46,80.78,3797.8119951734266,0
Female,No,No,0,45,92.67,4966.870822082872,0
Male,No,Yes,0,28,69.73,2350.654299069586,0
Male,Yes,Yes,0,21,28.13,958.7582084610315,0
Male,Yes,Yes,0,12,53.64,593.5440413071562,0
Female,Yes,No,0,55,42.17,2560.427540100743,0
Male,No,No,0,50,54.48,3011.522317610938,0
Female,Yes,Yes,0,17,26.59,0.0,0
Female,Yes,Yes,0,41,18.0,1323.95960950894,0
Female,No,Yes,0,28,18.0,0.0,0
Female,Yes,No,0,19,83.3,1995.3282603541447,1
Female,Yes,No,0,4,64.38,1074.895523157245,0
Male,No,No,0,30,81.01,1833.3936878291884,0
Male,No,No,0,51,120.0,6258.382627552199,0
Female,Yes,No,0,9,49.85,940.0753226082709,0
Male,No,No,0,15,69.57,987.1537737227983,0
Female,Yes,No,0,51,81.73,3858.174830940679,0
Male,No,Yes,0,27,91.4,2539.585429057627,0
Male,No,No,0,4,78.45,73.0665924842512,0
Male,Yes,No,0,32,68.27,2114.760241035253,0
Male,No,No,0,14,54.8,411.5882732206597,0
Male,Yes,Yes,1,66,69.22,4833.963446789296,0
Male,Yes,No,1,30,18.0,0.0,0
Male,No,No,0,1,70.5,70.5,1
Male,Yes,Yes,0,33,74.94,2033.8238063719782,0
Male,Yes,No,0,66,65.94,4474.21135756748,0
Male,Yes,Yes,0,5,48.93,455.3925680281694,1
Male,Yes,No,0,44,28.16,919.6129886479821,0
Male,No,Yes,1,56,103.07,6124.898358699262,0
Male,No,No,1,14,34.3,0.0,0
Female,No,No,0,62,90.0,4031.640715585454,1
Male,Yes,No,0,48,86.54,4750.087204913026,0
Male,No,Yes,0,52,67.53,3579.2183117823024,0
Male,Yes,No,0,6,92.29,660.3329635781274,1
Male,Yes,No,0,38,95.88,4406.7998337294175,0
Male,Yes,No,1,67,96.94,6934.914099334167,0
Male,Yes,No,0,4,94.71,754.0718838370374,0
Female,No,No,0,47,100.14,4405.923491829417,0
Female,No,No,0,44,88.77,3781.6530442503736,1
Female,No,No,0,41,46.36,1956.3034033857975,0
Male,No,No,0,42,54.4,2090.5756360480127,0
Male,Yes,Yes,0,35,24.4,248.2836863718427,0
Male,No,No,0,30,81.78,1809.393396483689,0
Female,No,No,0,5,57.95,410.7931944074804,0
Male,No,No,1,69,48.87,3863.478386211983,0
Male,Yes,No,0,68,65.34,4416.420177201419,1
Female,No,No,0,72,92.31,6955.361504184162,0
Female,No,No,0,10,92.26,990.3028743275161,0
Male,Yes,No,0,43,88.11,3904.073129592663,0
Male,No,No,1,33,58.5,2340.17477955098,0
Male,Yes,No,0,72,59.85,4709.985195787703,1
Male,Yes,Yes,0,69,66.93,4877.961645039293,0
Female,No,No,0,15,43.73,713.5325427123703,0
Male,Yes,Yes,0,8,40.95,0.0,1
Male,No,No,0,9,120.0,611.6578405157114,0
Female,Yes,No,1,18,49.51,11.585672349312631,0
Male,Yes,Yes,0,58,49.6,3709.5226271810407,0
Male,No,No,0,13,113.36,1699.1863527230232,0
Female,Yes,Yes,0,65,46.96,2653.344714521188,0
Female,No,No,0,56,71.77,4434.934493654151,1
Male,No,Yes,0,43,78.99,3949.3087415198843,0
Female,Yes,No,0,11,50.77,0.0,0
Female,No,No,0,13,67.32,1691.0783633565998,0
Male,No,No,0,26,105.34,2375.7845703869075,0
Female,No,Yes,1,72,91.62,6118.16461057568,1
Male,No,Yes,0,23,59.95,899.8671521411171,0
Male,No,No,0,55,18.0,107.26449864014864,1
Male,Yes,No,0,59,89.43,5045.266551228463,1
Male,Yes,Yes,1,13,21.28,293.24110035801414,1
Female,No,No,0,21,66.05,1438.7662658751549,0
Male,No,No,0,17,43.92,799.3446742280826,1
Male,Yes,Yes,0,42,98.62,4475.644092454763,0
Male,Yes,No,0,46,39.55,1603.3769566708625,0
Male,No,No,0,33,27.34,930.1482863507687,1
Female,No,No,0,3,66.08,0.0,0
Female,Yes,Yes,1,41,44.09,1956.0289280193717,1
Female,No,No,0,40,65.39,2131.505648626616,0
Male,No,Yes,0,36,67.7,1653.8977974449717,1
Female,No,Yes,0,24,81.31,1138.23769127802,0
Female,Yes,Yes,0,53,48.09,1639.5612783488223,1
Male,No,No,0,22,61.47,371.17664943251873,0
Female,Yes,No,0,60,97.73,6561.640396164468,0
Male,No,Yes,0,52,82.4,4735.793383000905,1
Female,Yes,No,1,33,27.85,609.7152844329867,1
Female,No,Yes,0,38,98.06,3392.2151471284697,0
Female,Yes,No,0,70,73.62,5645.239641740729,0
Female,No,No,0,4,79.22,139.99054390231913,0
Male,No,No,1,12,56.61,869.4372484716196,0
Male,No,Yes,0,38,53.48,2181.4282635574386,0
Female,Yes,No,0,64,80.93,4491.576713985501,0
Male,Yes,No,0,20,69.0,1852.4811221744649,0
Female,Yes,No,1,40,39.45,1741.1936774037756,0
Female,Yes,Yes,0,8,70.42,1710.7477316189743,0
Female,Yes,No,0,30,79.17,2090.3922413162672,0
Female,No,Yes,0,8,62.1,0.0,0
Female,No,No,0,15,18.0,490.47090086643306,0
Female,Yes,No,0,65,69.93,4388.757437579439,0
Male,Yes,No,0,18,56.91,1317.7181638273835,0
Male,No,No,1,35,67.08,2860.8971784329306,0
Female,Yes,No,0,61,95.97,6008.754758445675,0
Male,No,No,0,57,97.8,5299.6945361007665,0
Female,Yes,Yes,0,25,71.53,1774.5033599159035,0
Male,Yes,No,0,13,120.0,1735.9350860235802,0
Male,Yes,Yes,0,63,46.67,2443.871898197798,0
Male,Yes,No,0,34,91.87,2504.349413701083,1
Female,No,No,0,55,66.29,3030.7319192166224,0
Male,Yes,No,0,13,38.46,571.5734342331272,1
Female,No,No,1,53,70.59,4684.646763460376,1
Female,Yes,No,0,15,20.27,0.0,0
Female,No,No,0,60,99.2,6696.693386505849,0
Male,No,Yes,0,29,57.03,1998.566237196605,0
Male,No,No,0,13,32.8,60.11098949378487,1
Male,Yes,No,0,47,32.51,1359.390594246769,0
Female,No,Yes,0,20,98.59,2486.1251633629363,1
Female,Yes,Yes,0,51,56.33,2110.001623491382,0
Male,Yes,No,0,17,107.13,1722.8641559869698,0
Female,No,No,0,18,75.73,1695.1443395641556,1
Male,No,Yes,0,42,46.92,1574.5750643190154,0
Male,Yes,No,0,70,45.15,3029.7722302582138,1
Male,No,No,0,33,69.48,2268.8103730619564,1
Male,Yes,No,0,39,103.44,4568.655975960181,0
Female,Yes,No,0,17,44.44,0.0,0
Male,No,No,0,2,79.0,242.40904939779227,0
Male,No,No,0,41,69.63,3707.9633529122975,0
Male,Yes,No,0,4,55.97,0.0,0
Male,No,No,0,44,66.57,2625.713775317321,0
Male,No,No,0,21,65.25,553.9315506551131,0
Male,No,No,0,45,47.98,2008.2155809643746,0
Male,Yes,No,0,55,63.36,3601.734515848481,0
Female,Yes,Yes,0,68,55.31,3768.6401744376462,0
Female,No,No,0,33,65.35,1812.4080996118487,0
Female,No,No,0,54,64.34,3970.5341335942267,0
Female,No,No,0,43,43.62,2838.2029579925093,0
Male,No,No,0,59,45.5,3103.56763699601,1
Female,Yes,No,0,43,68.2,3001.112614551571,0
Female,No,No,0,8,94.07,685.9687308279531,0
Female,Yes,Yes,0,64,120.0,7472.874758765865,0
Male,Yes,Yes,0,65,39.95,2194.0991543904074,0
Female,Yes,No,0,36,63.13,1994.310208522635,0
Female,No,Yes,0,26,48.64,1135.5293912814564,1
Male,Yes,Yes,0,15,72.85,1171.545295815197,0
Female,Yes,Yes,0,69,85.02,5131.1696858369905,1
Male,Yes,No,0,6,61.72,0.0,1
Female,Yes,No,0,53,46.47,2482.1096413497844,0
Male,Yes,No,0,23,84.78,1911.9721907846417,0
Female,No,No,1,66,103.2,7704.21832003018,0
Female,Yes,No,1,31,42.73,2352.046957626603,0
Female,Yes,No,0,57,80.24,4518.968240475697,1
Male,No,No,1,61,120.0,7656.753061554852,0
Female,No,No,0,51,97.26,5210.524995004224,1
Male,No,No,0,69,36.64,3486.445405961767,0
Male,Yes,No,0,23,38.03,1263.0408693850309,0
Male,No,Yes,0,28,55.32,1448.648084810128,1
Male,Yes,No,0,6,88.86,364.87256146189736,0
Female,No,No,0,4,69.05,1402.2095241990676,0
Female,Yes,No,0,25,80.84,1691.586765261283,1
Female,Yes,Yes,0,28,59.27,1560.294325882269,1
